0,b'lue-colar,divorced,gPima;ry,0s,x1e,,Gngo,,,mTm,1458yJ,jK,X$,J#4,,noH
4,BmL%anageEent,marr#d,,-,/1QHw0,n+,nFo,ce3Bular,t,,1a,v,-,n,,k
,tj`c%nicia,PmaraL?ed,"!secoqnd=ar""",,,yus,ytwe,elephone,q,aTgi,6A,,>+],F,,Xo
,services,marie>|d,tsendarr,nM,,|nT,n,"ce;lar,",,u{,,AP,U7,S,,"""n8"
(+2,amiC.3,sikglWe,terNtiary,;,5n14,y*,=X,,m3,9y,1_34,u,>-]1,N0,,zl
Pv,mangremeYnt,sgl`\,terdiary,no,13@d,yes,no,c77lular,5,jh,17,,,P*,faur,#k
40,lue-clXkr,magried,poiimac4,n!,,)hF,n,,G,`u,J4,J,p7,"""",,cbUo
42,te~Schncian,CLg1le=,t!rt6iar,n&,-411,y(z,`o,cel#Klr,,u, Z,I,,,,jw
p,blue-collar,inle,"sec0nda,y","no,",4D1,&o,,celular,u,BayF,115,1_2#,,0`,,no
,unemployed,marriwd,second{aNy,n,RV66,n,"""",,"""S1%",=ulY,5*9,,-M@\,,,
)2,"admcn""",sin3lC;,eco0nary[,J,s-4,yt=,,mAeLlu/lac,1b8,no,1*P4,{4s,U,2T,success,no
3Ou,w^amin.,Hn4lJe,secnda/ry,;qno',s8,Pye,,6elloar,,r,mI8Z,~,-mX;,,,nDo
H4,tchnEciaxn,mIarTed,sc'dary,",",,I,Rm,"ceYll,lzRar",6,aa,1/H,,1O,G,,n
4D9,blue- 0olair,muarried,,Duo],rJ,yN25s,Y1s,tel-ephone,b,Rb,1q2,?,,,failu3Ke,Hno
&,manage:nt,single,Sprimary,fo,<<m-c,yes,AImPo,,_,r5ay,Ljw,9,-/1#,#D,,no
3,;lu=-cJoFllor,#arriev,secondary,Rvno,*[10e:k,yes,no,,x3,ay,159,3,-]P1,Z,,:pu
1,adm(n.,,"t}riar,",Ma,"6,8",Xy,),cefle0uTr,,,89,;,n,0,,1
F~;,bCluW-collar,marbiR@e,,So,7.1,,V\l,,y,may,P1O,\,4W,H,,-n7O
,entepreneur,ar{riw5edJ,seco)a,No|a,,o6,ys,telephon,15],ju#r,341~,PM,S1q,oH,,n
y,se/vies.,maie,p(i3mar,n1,x9,e,`,,;],j]un,ME3d,Cl,,C,,}no
5Y2$,blue-czollar,arr;3<ed,secondLry,M,D61,Zls,noE,,1X,ms,&74,s,+|,m,,k
435,cB0icia,divorced~,scodap,nb,2=57o,+,no,cel}ular,7,,m95,X`'3,$|,,,
050,terhoici,kGrrieCDM,secLonar,,2Z3,nTo,n~,,r7#,mc,9s,:,-o,,,no2
9,lue-colr,mapied,}Fprimrary,%<,#@43,vye,^<,vcellar,\M2,ew3,,,2H6R,3l,,n-
,m*angme)t,gmaried,tertiary,n0jo,>2641,n Xt,nmd,cellulr,,aLg,!10w0,2S,t1,<0,,mn
45,enKrer+reneur,Xsigb,Gerti,no,1678,wNn,n,,,bunR,133`,F1,T,,,
3?,,marrCe,secondary,no6,@W,o,T[,,,nu,"4""X?v",Y,^-Z,r+,,3aog#
X,be>olla`,mad,se3rndary,nAo],-x,K3s,,cellular,11_,8[eb,253,@a9,17H,"k,W",su[cWs}s,y1_
.0,(lug-collar,sinygle,secondary,6M,gS7;4,o,nD~o,@cellar,45,,11,"s~""",cB}-,ug5,,nod
E,dm~nd.,*rrie,,,W/K,9ro,y<,,",#17`",ov,0|$d,12;,`'),(M`,,
50,entrep\?eneur,married,primry,a,em1,aes,,"cell,au",22gho,apr,&_,J,<Z,Q%0,,no
E,t7chnican,$aried,,niVeo,232,~uo,nmo,e*lFlr,?,6uv,90,E,f,,,ng
G2N,blue-collar,s%inQle,secokM;ry,3wo`,127,yp,a,cIella,'jK,c<a,1n6,,5u,,,uo
!\,blue-collar,mar3Jied,secQnTay,V,H,e,Gz+o,cllpl,5j,ar,Wn4b74,nL,-1,1a,,^no
t3QH,technica\,sigle,e@cond[ay,n,-4%5,6s,foi,,){,pVm,7(3,5,-,|,,~nB
3,blue-collQr6,^singile,secdnLary,o,^sH,y',n*h,celluac7W,=,my, a,1,O1,0`,,
 :(,blue-collar,mDard,denondary,Dnh,-nj,,0w,,Zg,kmy!,3z,uS2,-a1,}iF,,o
68~,bilue-collar,single,ecPn 3ry,nho,[&4d,yn*Bs,~To,cellularY,B,uCg,22d,2$,-1,,,yqs
V6,blue-(colam,8%arqiNed,,?n#AL^,S|1a03,u:,,cel:$ula,e,pGr,2B79,=,P,"""",,nTp
,[tudenyt,"sidgAle""",secondary,,S=<,\4,[,telep;zon,18,mMay,1L,3r,/7>4,N,oheY,'o
36(,m1a5gement,sIinge:B,5ertiary,\no,2z47m,Ho,no,,v1,ma(,354V,,,,,
,,marrier),secondry,Y,UU,k4I,-,1Y_llular$,{{L,'vEGn,,,L1Q8,n,otne;,Xd`wo
3,scr6ces,vosrc]ed,,!,q,nqh,b`s,cellular,E,,F13lS8,t2,0O1,J,,o
55=4,sel-emp^loiyedO,married,secondary,,3&27,,>,cjlular,i,Anug,686,OP,KI-}~,0$,,J
3F,blue0-coular,sPingl,sPLondary,nn,U-7,ef,toJ,cell=larS,y6>,may,~27I0,4,,x,figce,no`
j;3~,adnin.,sjEnge,ecdnda(y,,,Ce,s,"c,llul~ar",ryL,mLwb,,2JN4,301,,failure,ox
341,"blue-coll,aSr",single,spond9:,n ,f56,e0sb,N~?,cellula,x,yKO,2V8,Y,"4""ZA",0/,,9|o
47,manageen,^arr?izd,secondary,no,-5'1,",ye",7N7o9,Bellujar#,g3,ak,j8,Co,-C@1,x=,,no
,"mManag""m\ent",married,tertiarcyY,|,(18,)n,n,cel9ula_x,oh,n+v,Q 997,k,{BG,t#,,t[o
I(,mnageZet,maWrriS,tertiary,no,,@Y_,yaf,4elNlular,1,,141,1,(1,<>,,"I,1w"
.G37,sergvices-,si5g3,s<$conwry,,|115O,yAA,&,cellula<,,!,s1i,,,k-,failu>rK,n/
46,ousemaid,riedlc,*mary,z,^82,snoWr[m,,cl3llu7ar<>,18,j}ul,*0,p8,L,wG,,%no
33,"/dmi,.",dAivrce,seonda}ry,n,140,yndK,@o,, J8Au,p7P,139,,o,0,,no
2&8,YAmPiIn.,+ar4i>e,tere9iaNhy,no,1O,,ys,cellular,y,fg&e_b=,,2,f,Wy,,
51,re-Pvrd,amaried,+primary,"""M",v9,^esZ,4o,,!,may,,z,#1,H,,nc
{Ey=33,blu]e-colM,sin7gp,s[econdary,/noL`,1n49E,<%esd,n,,ds0,jun,a)b,25,v,6],,nr
,admien.,marind,secondaIy,no,912!,J,?,ellul.r,t,-u,Q1l9,3'^,>x,,, .&o
nY,managemenF,mabrri;ed@,teKtY=ay,S,k'14,,(w,cel=%Zar,,<pr,~,1,-912',,,no&
6k,admin.,sinle,"tertia""y",o,153,Oe,,-cellular,,may^C,,,"""2",8#,thKr0,3AU
_,blue-colar,marKid,eo0dary,2o|.,3u ~4,$Wto,y\,{ellular,,)u\{,Mi,,1M>,,,
5|/31,techK0ia,,secn Bary,,,D,\,cellulr,20,,,lk,u1,.e,,a%
0,blue-cSolr,ar`ie,secondarh,*7o,17],yes,y>(e<5,,,mry,2(3f,VC,-V,mm,,S
3b,blue-coljlar,singe,ec}n7dar~y,,5',myes,,oellula,916,apr,9;,1,31i7,2$,failrze,O
N,te7hniciaR,diHoce{,seconoay,d,P147,yes,ykes,cllulAr,2:8)8),d7>uW,j,3u,-,;T,,{
1Z$,,marrie,ec_nAdary,,17x2,"no,",ro,celulr,|,,(31,v-,$[,(,,4vo
-9,b`*%ueg-ollar,ivorced,,no,2A56,n=,no,ellc]ular,2|,n:`o&,163,[5,"H,-?",&a,,;o
~4,servicFs,div8orced,s.co`dary,Bnb#,W10}q,V,V,celular=,18,n!Iv,11~,K,-p1,C_,,kHn
x,technicianU,marrLied,sPtco\(aryu,o,,*ye&s,Bye,celm]3ular,18,n7v,),f,U5J-1,0W={,,
31,blue-colar,,seco/nary,ao,<|Y,,,,19y,Pay,,,#@,,,7
5/,8blue-^cll:r,married,-pYmOry,Mn,8*W:,]7yg`s,no,,1Q,ey,,18,ay,,,enz
z,managment,single,hertry!,jGa,5S6,&o},`o,"cel""lular",S27,=>ocNe,4(1,^2,,0,,5
29,bIu-ollar,sngle,2econdary,XR,2M80,,i,,M2,ju,7),,-1Fv,c,,yTbLs
,retired,divorced,terir_y,n;,VO8,,yes,Mellul}+r,"M""2t@}",a+,854,u,,|0,,5s8C
<8,unemplfOye,/fr6red,secodary,0o6,Z8gE1,yQes,~,telephone,,jY,M13L5V,XSe,,T,,P
3zZ,manageKent,3ing,PYi~ry,h,-38~,o,no,cell6lhr,g2'r,gu%k,0cf,A,d-$,%V,,o
5-Ad,>services,,econdr,V,\08,y?es,)J,,Cj5k,fIy,u5O3,'2,1xf,5?q,,
@48,entrepre-ekur,marriJ,secondary,,,bs,1,,W@v,`,,>,*c,?{?,,d.
E,manamt,~arrireyd,tertijapy,dn$o,163N,yes,,_elh)r,<H,Dpr,at3,2,261,U3,ilur,
7~,unmlo@yRd,arried,tehr7iary,noS,b]9,,e,,M2M,W,2OW,u=5,,,,xNo
XJ5,unemployed,"mafrpri,","}r""]ar",IZ5,A4KZA,lyeIzs,;,,e5],%_5un%,,o,,Qkz,,D
M2-,,,pr ma6,no,Rf*54,,nx,Ccelllar,1<6Z,,Cm0,b,kN,8]&,,n
([u,,,Reconda1ry,go,:31}*,79ow,Dno,ejllulr,d,mMy,,1,NSX,,,P/
a38k,mnaYgeMnt,di='oXred,trtiy,zQZ,{1N84,1ye|s(,,,,maWy,2{6;,:1,-1r,>,,e+
31,ma(agement,sM(nglpe,terriary,BJn`t,,s,U,cellu|l|ar,ix,jul,a2j},S,@36Y94,-3,ailure,yN
,anagement,singl,tertiar,,12 =A+,",o",>8,,_x,j#n,3'z#=6,y,,G;0,,Vn
,oamin/8,marred,seHcond]Pry,8,734,&n#,o,cellul4r,2I6,Wg,,.v<,"-,|",0,,<V
u&3[>,managnt,siVgl,tetiarjI,ny,,M,,ce#luar,,,/5FB,b,182n,,f~lur*,nk<o*
y;e,addmin.,sn<,Fecond<ary,xNno,,ye,yes,,1a,",a9",4b,,,0,,
Op31Z,am)ageHenk,,tertia{}y,nZoo,1;,ol,8j,cellular,w4,H%un,1161,,9l,\,csuccxss,
37,2lue-cnllar,single,seconary|,,1@v1,TO,y,celular,Bm,f@Mb,6|`,2,"7""",P,nailur2,n
T%_2,tecshnician,single,e1tivrq&,C!o,-Uh,,,c<llular,,5eioZ+,2.8],,a{1,,,no
_i]w,technician,mrriGd,eo?ndqr,.j7,i,DS,(@es,yellulNr,4,feLb,%59(,,h260?P,,kfiilu+r,no
{;8A,stude+n`t,sHgl/,'becIdary,Nno,'4-Q,y2s,no,,14,{,,r,-,S,,noo
37,entrZeprneur,mrrid7,secondary,n5,-18H70,^yvcs,n,,2C88,ma,%,#,,^0,,To
3,unemploUTMb,Dmfarrid,,no,,n,o,,H>,fzb,7>9,5F,a[<1&,0X,,
4v,,maiejdf:,secondary2},,XT6,"0yz,",PQo,,8,.@aO3,1Z,,,S:B,,]n
",1",entrepreneur,siG+le,HterOtiary,,37,`,o,,,,28^1,SR,6Sr1,wQW9,,no
,entFreprkenBer,divorNced,tertiary,<,1148D,,"Rno""",oelul/Ir,1y@, yf,m61,,,,d2ther,
IX3,ser#vicsq,"sMgf""en",tTetiDry,Eo,,eo,,c-elular0,f,ju-],F.,r,-1,:,,yeg
30,technician},si49leu,,(},l,o,Xn],,,2jP,1)516X,0A,Wy1;,S?H,,~
3a<,tehniin[,,tertiary,u,9<]z5,es,Unlo,clSlulKr,2f6,af6N,+H,1,11{,`L<,ai(u%e,
Mk,,|arri4dq,secDndZry,WH,X-1t1,0,yef,celluxwar,?,au4g,o105,,-n,0,,
l,manag-emntf,single,tertiary,Un,1995,yes,no,,, B,99L,v,-X,?a,,no
K,[exchnician,divZrcrd,,o*T,<17,ys,no,cellular,8,am,364,D,3]~5,,falure,
\32,amin.,sngb]e,se`n<darzy,`2mvo9,153T1,yeqW,,cellRl;r,P,er,,{,,,succes*,
,managemen?,m8r9et,telrtiry,,,o,nI,cellular,,um,,.,V_,,,?Tno
.[,admin.,mrr.d,secon,oQ,488,nF ,ysx,8cellula8U,NU,l=<5,',",",@T,[,,
40,sef-employed,mrred,,,,|w2,(, l;(lar,h1y,*Cbnov,p2,u,-1,,,So
t,self-employed,marr6ied,vtertary, ,1J13J7,#B,On),^ellulr,w,japr,n*,8>,P,MY1,,nf
,a|dmin.,single,secondaVy,, /5,s,,,M9<,mUy,174b,c2,~,,,"""l!"
41},"teLchnii,a/",=-_ied,secUnAaGy,n,{4K%3^X,y&\s,Yo,,,Pafyc,$2<130,3,;,0,,F
G4=,adi$,\ar3uied,jecndaty,-,204,yes,,.cellu ar,,{,z?224,2^,`+1&,H*0,,yqes
Q1o,lanagemnt,asigle,"!ter2tia,ry",n],),Ygyes,b,cP9llular,6h,eb,1#o8,"D""{",>2,?,s)c-eh,O
zg,enItrepreneur,married,eco}ry,,,,3o,cellul(r,"""",jHun,B8,`j,u\1X,,,s/es
7,rhere>,maq.rrKed,,g#o,,,Bo,telephone,,7sp,, f,B!)1,n,,/es~2
5,technigcwian,sWgl,tbrtiary,fA1,#,Z,%,Jell7ular,,Vaug,113.,v,k1,+&,,no`_
%7,,sianke,,nt,(6,T,L,ceal9ula}r,a,.jW,i5,"""",i,,,hyN
5!,,m0ried,@erniary,%n:,e99C4,f,0jno,celulzrj,8,se,,\,3T70,d,vfire,""""
5#,housemd,arriV,pi@mQr},;,,es,'Js,ellE!&,g0,ag+,]52,r<,k,2W,failu]e,eomx
Fc,,mparred,secondary,|,a0[8,y,,cxl.fuOjar,8<,P,,n:3l,-1,0,,n1
5i,entrepreneur0,,econdary,nz,ZQ,es,,,2,j_,184,5Z,l,0V,,na'LE
3,retXe^dE,<arriyOd,,<]o,,yes,,xelllar,18,nov,1b/80,W,1/]{,d,filKWe,zo
,=mna4gemeCnt,divorced,secon\vpry,o, 5',"""o",z_,cuellla7,,i2,0;2,vI,-1,,,T
,adpmi.,'marrie,,a,8304,no,6o~,fe(Blular,S,"s""epC[",G|Un9,=[,92,.,Bsuces,ys
33,"t,echniaian",xingSe, econdaYy,n,&99,yes,SoR,,Q,n,V,v9A,,g0,,:&bbno
e9U,,"s""ingle:tN=",secondaTy,G{*,q,no,npJ,,x,j,W2E,,-,H,,n
XId,umn/emplyed,ivce,second=ry,no,"446""8",y}es,gr,,,yy,XnR,"""",*,Y_,,
",",,sJingle,ecoQndary,#,1vR2+,y`,',cellW1ar,y,o,,,L,m,,n!
P(,"7dmi,(",ilnn,teHtia'y,:no,5,o,kXCS*,_elluar,,eI,t,L,dH,,ilur8e,go|9
TY,adqin.!,married,eeconiary,,12226),qe|s,nVo,cqlu+lGa,74,no,96g,,' ,N:,,o
]d33,ti.,mrri,kteria5y,nYK,@2>5,,&Q,,f%,jyul,1`&56,Y,]1l,,,E_o
4x,blue-collr,ariCed,,Co,T118<1,f!s,Ano,celKlaau,_m,fe,",1yv",s2,1%\|C9,,sXPcces,
g,jt1eYc#niciaa,inglei,se$ondJr,M,{518(&,yNes,nM,cellula,25_,9uTek,=,12,-f1,,,6nQ
r55,,m0-rrie(,tertiaCry,dn#K,Xg,yE,yZns,ERllular,.,sMp,15r,2,}#GK,vTO,,no
3,technician,bnge,tertiary,n,,yes,L,,,`y,5.0,a,-vj1,"""2",,.
Xi,t^chnician,"mR,rried",sconU%ary,t>L,i0%,Kyes,BYZ>,,)14,ay,],)8:,"""/1",",",,
j,srvicel,marri7%e,primamy,noa,2226,V,yes!,,@J,iy,p5,,(eR,,,
3i,t^ecThnician,marrie,siocon3dry,Hn8,X,ty~s,tokv,celular,F9,aphr,6J,,ux40,9im,falr,4
,,argAied,,Fno,P,n,Vy)s,cOKllular,$4,jtl,[F,R,E,|,, 
31,,sigle3,econdary,no,4KL,yQusP+,nP,,,a],=38q,+,H,p,,o
['6,mnagem9t,HhmarrbIted,terti~y,X6F,D3,yes,r5,cellul4ar,BH,apr,55UpC5,,h-1,N,,yWs
X0,^dZn,s9ngle,9prlarYyt,f,6Gt086a,,xnoq|,Be>lluCar,y1Di,Bay,23|,;,180,207,scceKs,yReQ
=,Cblue-coll8O0,divorcdd,,,#/J9,3es,n,celllar,,:,118,,-1,B,,no
v1,,rr1ied,secondEry,Zggi,-664,eF6,y.N,celPlPlar,1H,ma,g85o`,4,M-1,2*,,ndo
99k,"lueVcoll""r",siYle,"se,ondary",B58`,1n,ye,CU,ce0luilarz,11,jR,,!1u`,-1A,2:,,nK
(,blue-collar,mar<ied,1sZeMco8darry,n5o,45G5,B!o,,cS+prlu<ar,f7r,sul,+5W3,,s-1,,,ye-
{$,,marr'ed,secondary,no,1Jl,o,8,,$,m{,3ug,,=-X,M,,o
<,admin.,married,secqndary,o,953,Lh~s,B,ceKllylar,=1,,80,,a81,f2,,o
O3|&,Jser1viceL,s2Jgke,"sec,ond[6ar",Eno,6@!H03,yPes-,,cellular,f7,1aKT,]1q5,F,319f,2,gailXue,no}
XM,techCTic@a,marrnd,secodwry,,112#,l_,z{81o,tlep0ne,"""4",may,,4,SZk,bJ,,o
T:0],se[vceT,[marred,secondyry,no,,yes,{no,c :ular,d71,f,6|sD,,,v,,e3s
35,bxlue-5ollaq\,mdried,secondary,5o,36:,y=sLn,nSo,oeepGn,20,ipr,2 R+4,^,1521,,failure,nos7
"""49$L",but-collar,,second*Sy,oa,12C,n,,cl3+lavr,xr,24AV,!s=,u3,>1,0,,8n
5h4,management,mnar'&r;ied,tefrtuary,e,"l03""",,pnCo,,K,$Tj, 29,3,-1,n0,,_}{o
,,wa/lrricd,sondry,N,,,n$o,,;6,j;n(,103,Z,X1,,,no
1,,mxrried,,Jor,4w2,,B2,tel4phoneD,",",jGa,,6:25,wa2p,V,,[!
3pa,servic&e,s?ingle,'ecnda`Q8,rn%,-m1@b,7s,?U,,1o,8<0yy,'h4j7#,c,-,/,,8
1,unemployed,,se'o_cnda,,w0,,4]o,cell:ul(r,71,Y6,17Oa,y;,x<]1,,,
@34+,blue{collar,mar ried,pGiary,o,S157,en;,Xo,,+,,N1,17,,;V,,nw(
!34,echxcian,married,seonary,no,1i2z43,(o,rno,,,,88,,-,0wi,,
36,blue-!collar,mar<ied,"se""dary",e,k/70{\,,,tnlepho9e,21,CL+Av,V)!13,K,F1,,,","
-ck,management,mrri~d,,d7oV,54p31,y#s,o`,,9i,fXm,oc7,,DsS, q,,>no)
,n'PrepreneuZ#,s6iglW,teBuBiar,ex,,,"hJy,f",,}7,ma,3,,,,,
|6,ent_e9prenr,marixed,,$es,RN, el,nY,,!\,novp,20!3,`,-<,S,,nroN
51%,enCreprenur,single,vtetary,yp, 50,"h,o",nnoA,,}1,Y,l0N4,,{q%1V,_,,nMK
47,lue-collar,married,secondary,no,8,Ro,bZZ,,,w@,64,.,&1,,,ho
5,,Omrrid,sesndyry,n,{vz4,yTsQ,nfo],celllarb,m[,f?e$,15NX,3|'2,{189K,,faiLlgjre,n
y,manage4men,siNnIle,,,4&,no,>,cellular,t;9,N&an,18b,*un,,Uz,,n>*
B;2|,admin.,"m""rried",secondary,o,(5,;1, v,cElurar,11,i&!@,1Z.85,2),p,P0,,oo
,entrepreSne(r,,seodapJ,nor,285[,"""o",nzo,(celular,AZ*1,aov,1P(,,-&8,0,,;W
4L1=,blue-collar,)Rngl,5rimtary,,:,ye,3nL,,9,myC,4q,,-11z9,0,,
xP2,,marred,seco?dar,,24d,yels,0,cllulr,a1,Ip,29a,b,275,2,nailr,
+2,technic9an,,secondary,,RV,!no,ODo,es|l>ar,=18,ag,T,:,-,SK,,l
39>,managemeOAnt,m4rr@ieW,"M,econdar",1no*,,s,nJo,cDluay,j%v,a u?,]k,21,cD,S0,,n
,services,married,seconHwary,n/o N,21u8z,5F s,no,,21,?Xay,"70,x",.\3,|'1,,,oLD
kv,man>6aement,married,tektiay,,B;97,yes,no,lubar,L6,I.,Na,5X,-,J,,wo
,se~r=vice^s,mrried,q9;rtia y,n&o,?58zs,yes,yes-[,,20,map,7s=,,,,,N9do
,bBDe-collar,sin.gle,,no+,o73_&,7,b3o,,#ys,6ay,Oq,3(,J%,Qy ,,no+
Z0,bDuC-collar,tmarried,secowdarN-y,`5,U26,nH.o,o ,cl>;ular,,,,O9,n-.,({,,B
y3v6,"blue-c""_llar",zmavried,njseconar:,@o,1x9J8,yes,GR,,a9,myj,,,,#~,,*o\ 
/,uonempeloAd,rrie,secondary,nm,23j&,",o",ABo{,ellular,22(,aZg,R5,|1j,,0,,
,technican,dc}rce!,trtiary,n|@,y-,Des,(es,dlular,d2,,734,4i,<1x,=,,n
50,=rZeti2ed,mrriheyd,HrTima_ym,=f,,"""6T",:,,x0,r,L,eW5\,#-1,{0,,to
g',bdmn.,=marr&ied,seDcondar,um,1~7r4,ye2~,no,,R,F,4N{12,x1,-1$,,,
4,Eqchnici[an,,ZecondarIy,G,78F2,yes,nhl,cell1ular,174,jul,m,{2J,-,N,,|o9
,te+hniia),m8darri_jd,econdarY,y,351,esZ,nt,telephone,n,aug,U15,2,gY],,,{-o
>3+A,m:aPnagNemInt,,tfrtmizy,nGS,p5,es,?r,,2!3Mwt,}may,FV,,R-1,)X%,,Io
SN,mangmejt,Nsingle},,o,60b'3,hyts,],ceollu`la9,,,%2,,T,0,,yMe
L@,blyue'colla,maried,scondary,jqn2,kK1s,yed`s,n,,6,',8Lxe,3y,c!>,0{,,o
52,blu-colar,dRvrced,,x,`o8,l=K,y5,telphone,oq9l,uJ,271,*,rVi,,,J
5j,ret/ed,mDrried,]skefondary,Rno,,y8,d,,K,maw,f16,,6n,,,<s
E,Plu-Jolar,7jmarried,,o,?,>noF,ys,cellulaI.,f,jl,B5,>$,\-c,,,
6,,&ivorced,,\Zo,aHh,$n,S,ellulr,,1,,',"60""",,tn,9Lye(
x6,mh5ageen t,singlep,,Ino,C,n4/oN,I@,cellular,/Z,jc,0s*,v^1,bA9%,M,su] css,AeY/
c~T,lue-Ecolar,married,sec5od#arOy,-*,,yvs,ye?~9,,cx,un,239,T,N1, 0,,
,-.service,dv-orcd,sJo>dary,;,)m4,$eds,!fI,,"10""",,12\c,,>,L,,nFo
,management,maFLiR[d,teMria=y,}}o,,/P,M1,cSlOlar,#,ug9,90T,,g,sT,,""">yus"
,admin.,arBiePd,seon@dary,,,yFs,+nQ,"telephnn,e",Dp,vv,y,,ZK,>,,nwo
1,retSired,mqar)id,eecodarry,A;o{,,n(,,celXlulab,At,ov!,{1-3~18,1,120h,95,,n40
2,manbgemxent,single6,,"d""o",264,qs,Bo,,,may,EeR1/1,k,-1,04,,
l4,aaVgemnt,arre,tertidary,";Z""",K0,n,boQ,"c=_ellu,r",2Ga,may,"1}g,",1,F, 0,,Y&n
34,blue*colla),mha rred,pgri+aryB,X,O1,ly^e\,M,,17`k,jul,546,=#U,h-y,0,,
,managehent,divorced,,!,,R,n,,?,"""u",11Q,^,%1,z0,,"wo,"
"""i",blue-collar,sngK>\h,scEnda*,y>s,=0F,?ecs,},, 2,wu,,S,$sS1,$,,']g
32,?n}emplfoyed,sXngle,secondNr^y,o,67t,n'P,h,cell5lar,,$b,2-,^,f,X,,qf
,bqe-c+llYar,kng:e,,no,h,yJk,9_I,,29,,24o1,,I,k0,,o4
,mc9nage~mYt,marr}i,sceconday,nF,n,,n}x4,cellNlar,,p,6B=,,r1,F,,yes
:42,se&rv-eLs,ar~rlked,trtViay,],,gbo,x),elluKr,N,awg5,i0%00,,,i,,no
3r17,mUnSagment,m<arried,trthCiay,n5,,ye,nc,kcelu$ar,2d,Sju'ld,137!,16,-1p,;,,nx3
,manage8menK,,'e;ti{aryl,4no,5j,",",q$,,?,jpu,28I58,n,-,R,,no
,mLa!nagemt,marre,,MP,",-1U*<3V",,ov,,b',mJy,}:,2_,-nd,90,,dnom
,admin.X,aried,'tertiay,ni,@7,o,nso,ellular,$,j uls,N30,,,,,%o
4*9,maznagemenD,s{gne,tertiahry,?,58i,"n""h-",',cellular,,u,,|Lp,g,S,,J
329,housemaid,mrridi,sI}c~ary,no,-146,g{y}E,e),cel`elar,v,"aug-,",n239,J?,j1,>,,In
27,aa*n,Umare,tertX<ry,nEo,73,F^,n,c6elar,u0,|e,,1,,N0,,yOe
d=8,technic9an,dv]orce,"sec,ondary",&9o!,-123,nYT,/5,celHlar,5,,1d1,,G``,G,,J
2,housa,m6rri_.d,,nao,12gX8,no,Zn1,c<llular,#,aug,42y,@G,H81,0K,,
m,lu)-collarT,marjied,E|imay,,vfa,yes,,BceGllular,*11,.av,3#13,1,69c,q,fil9Prev,
mJ7,,maried,ter.y,OA,R8,,n,celGlar,<!,art,.%,3Z,,0,,eye
6U,techncIn,<single,seconday,Q3,2Yd,s,?no,TellRwar,Y8,aa[g_,J7<,nv4,@mt,)mP ,,_n$`r
H41T,ent^repreneur,marCried*,tertiary,8<[,30;,"y ,s",-\,,yE,,w2,o,7*(1X,=+,,
n,1Oervices,ma:ried,,UT,5Ux2,Ts,,cec&lular,d18,,278,b@,a,,,zO
3-p&4y,dmTns,single,se. ndary,no,E(q54`,,WL,,"8p""3",{a1,313,1,,,,@Ho
S,retired,div.ce,sec^onJdary,no,95d7V,c}D,,,,$,G/,4N,,l,,ny
2,echnic*an,hiUgle,se$ondla-y,no,,yLs,,,P7,0FU,m,u,,(,faiure,Je'
X$O,+Alue)colar-,\s[]gRle,teria`y,no>Mn,9#,IDoe,no,clllr,H,~ay,67,Q-3,z+,d,,no
,,m-erie{,pri%Lry,no,1<5,"""(",=1b,cllular,1#,,[7,e}7,*,0e,,nNXI
a8<,blue-coular,mrrieY,ar)ark,o,3034[,bo,,,A,Bju,4vM<,?Q3,"g""",0B,,no
,,,,<vom,4B2,yes,Y,c yellulXr,D7,n_v,359,>e,lM,,,no
6h0,rti-red,married,secondary,nGyo,2}6,,o,,j,j7un,?0,S,,,,
4O4,blue-colar,marri_d,primaryV,2,1i0[,yK,O$![,,{by5,u,[M41,,AQ,$TO,,F!n
29,2lue-c~ollQ,marBrieBd,sWecknga,[,F,"Re,",,fSllula,e,TDjl,*26,,-17l,Cm,,3G6
$,houemid,1marr\ied,{=rimary,@m,|=eG,p,\o,cellu8lar,",1f",aKQuLQN,`9,'r,"-""1",0,,r
(,services,ri,,q,&<2,,rs,evlluu#r,Ju2 B,Vlp,144,"""G",@-1,f,,'
X<,manage_n,mtried,tertirary,n,"""1t6",%no,{,"""cel{lu7G7ar",A,jul7,,3[,QY,0,,An
4GO,tec7Ahcia$n,d7vorced,tYerU+iar]y,g,-{243,no0,4,cel>luQa,`14D,30li,,,O-,h,,
3,techniwcian,sigeeh,econdary,^jp,5eq,yFs,,,(,nD,4~s,@_,-n,",0i",,n|to
u;9,nagem__t,arried,ter`iary,=o,2-35,-e%sa$,n,cellular,5\,a)W,15y7,"""",-1,,,ou3
X,chnician`,d[ivo*ced@,so:nd4rL,nVn,h,yes,nC,cellulaZ,"Y""",nov,3{6,\6.,:_p,,,
4ne)1F,sechnici|an,marrwied,wYsecndahry,n<,,yes,ys,c9wllu/lar,21,nv,wp5n,W,116,>,failurX,no
3,zDanDgeOet,sinlle,tX`4ar,nHo,201j6,nno,}oo,celluYr,Qr,wR,,1,P8,L/,sucicess,5yea
r3w2,b8lue-Ool\lar,sngl,ecnare,no,!6,{z,no,,1W4,(2a,Y,J,,/,,Q
,b6ue-collar,,s>condary,],750,esx,n,,3,,e6-,,\h,0,,Xnma
2},anagement,,tertiary,,,e6,,"cel=ll,a",),4,2O,$,,,succezs,
2\,kisZvice0,married,sec_onarry,o2[no,,,%S<y]o,,@8@,mayh,x,r1YeJ,,3_,,nO\o
